version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,AGGREGATE,100000,1000,42,663.730,0,
old,sa,AGGREGATE,100000,1000,43,659.015,0,
old,sa,AGGREGATE,100000,1000,44,678.437,0,
old,sa,AGGREGATE,100000,1000,45,671.573,0,
old,sa,AGGREGATE,100000,1000,46,676.137,0,
old,sa,AGGREGATE,100000,1000,47,679.777,0,
old,sa,AGGREGATE,100000,1000,48,675.268,0,
old,sa,AGGREGATE,100000,1000,49,666.023,0,
old,sa,AGGREGATE,100000,2000,0,666.841,0,
old,sa,AGGREGATE,100000,2000,1,675.064,0,
old,sa,AGGREGATE,100000,2000,2,662.756,0,
old,sa,AGGREGATE,100000,2000,3,661.072,0,
old,sa,AGGREGATE,100000,2000,4,656.744,0,
old,sa,AGGREGATE,100000,2000,5,660.296,0,
old,sa,AGGREGATE,100000,2000,6,656.001,0,
old,sa,AGGREGATE,100000,2000,7,659.144,0,
old,sa,AGGREGATE,100000,2000,8,651.382,0,
old,sa,AGGREGATE,100000,2000,9,674.186,0,
old,sa,AGGREGATE,100000,2000,10,668.003,0,
old,sa,AGGREGATE,100000,2000,11,661.733,0,
old,sa,AGGREGATE,100000,2000,12,663.330,0,
old,sa,AGGREGATE,100000,2000,13,669.518,0,
old,sa,AGGREGATE,100000,2000,14,669.434,0,
old,sa,AGGREGATE,100000,2000,15,664.965,0,
old,sa,AGGREGATE,100000,2000,16,664.045,0,
old,sa,AGGREGATE,100000,2000,17,659.780,0,
old,sa,AGGREGATE,100000,2000,18,656.366,0,
old,sa,AGGREGATE,100000,2000,19,660.827,0,
old,sa,AGGREGATE,100000,2000,20,663.729,0,
old,sa,AGGREGATE,100000,2000,21,657.645,0,
old,sa,AGGREGATE,100000,2000,22,658.458,0,
old,sa,AGGREGATE,100000,2000,23,658.018,0,
old,sa,AGGREGATE,100000,2000,24,665.435,0,
old,sa,AGGREGATE,100000,2000,25,668.155,0,
old,sa,AGGREGATE,100000,2000,26,667.252,0,
old,sa,AGGREGATE,100000,2000,27,664.561,0,
old,sa,AGGREGATE,100000,2000,28,668.772,0,
old,sa,AGGREGATE,100000,2000,29,665.166,0,
old,sa,AGGREGATE,100000,2000,30,664.093,0,
old,sa,AGGREGATE,100000,2000,31,664.020,0,
old,sa,AGGREGATE,100000,2000,32,660.428,0,
old,sa,AGGREGATE,100000,2000,33,661.188,0,
old,sa,AGGREGATE,100000,2000,34,664.418,0,
old,sa,AGGREGATE,100000,2000,35,652.563,0,
old,sa,AGGREGATE,100000,2000,36,662.151,0,
